peak_id,peak_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,coord,news
PANG,Pangbuk Ri,6625,Climbed,2011.0,USA,PANG11301,"('30.7033295', '77.7586234')",https://www.stern.de/sport/weltcup-in-den-usa--wellinger-beschert-skispringern-ersten-sieg-33188270.html
PARC,Parchamo,6279,Climbed,1955.0,UK,PARC55101,"('27.5946131', '88.0897953')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
PETH,Pethangtse,6739,Climbed,1954.0,New Zealand,PETH54101,"(None, None)",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
PHUR,Phurbi Chhyachu,6637,Climbed,1982.0,Japan,PHUR82101,"(None, None)",https://www.elliotlaketoday.com/national-sports/canadas-kingsbury-claims-dual-moguls-silver-while-teammate-viel-brings-home-bronze-6528314
PIMU,Pimu,6344,Climbed,1955.0,UK,PIMU55101,"('29.855562550000002', '81.29834088989848')",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
PISA,Pisang,6091,Climbed,1955.0,W Germany,PISA55201,"('27.9496738', '86.9833813')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
PK29,Peak 29,7871,Climbed,1979.0,Poland,PK2979101,"(None, None)",https://www.guelphtoday.com/national-sports/canadas-speedskaters-win-world-cup-gold-in-team-pursuit-6528371
POIN,Pointed Peak,5850,Climbed,1953.0,UK,POIN53101,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
POKA,Pokalde,5780,Climbed,1953.0,UK,POKA53101,"(None, None)",https://www.standard.co.uk/news/london/gangs-of-london-felix-project-cost-of-living-crisis-london-b1059632.html
OMBG,Ombigaichen,6340,Climbed,1960.0,New Zealand,OMBG60301,"('28.782078', '83.4838316')",https://simpleflying.com/airbus-air-new-zealand-hydrogen-hub/
PUMO,Pumori,7138,Climbed,1962.0,W Germany,PUMO62101,"('29.97526215', '31.137534877312774')",https://www.thestar.com/sports/soccer/2023/02/08/reus-fires-dortmund-into-german-cup-qfs-with-win-in-bochum.html
